0.260298,0.00627838,	8481620402210
0.258293,0.012508,	8481620462293
0.257283,0.0190954,	8481620489710
0.256269,0.0256604,	8481620514793
0.255252,0.0322026,	8481620540460
0.0683,0,	8481620565835
0.252206,0.0447288,	8481620590918
0.250179,0.0508507,	8481620615710
0.249145,0.0574136,	8481620641377
0.249105,0.0644594,	8481620666168
0.248063,0.0709876,	8481620691543
0.0683,0,	8481620716627
0.244971,0.0834159,	8481620742002
0.243919,0.089741,	8481620767085
0.242864,0.0959279,	8481620793043
0.241805,0.10209,	8481620818418
0.240743,0.108226,	8481620845252
0.241666,0.115594,	8481620871502
0.0683,0,	8481620898043
0.237536,0.126477,	8481620924293
0.23646,0.132507,	8481620954335
0.236372,0.13932,	8481620984085
0.23529,0.145202,	8481621036585
0.0683,0,	8481621067210
0.232127,0.156132,	8481621097543
0.231037,0.161913,	8481621127002
0.230933,0.168453,	8481621157043
0.230825,0.174995,	8481621186793
0.229725,0.180727,	8481621216835
0.231582,0.189123,	8481621246293
0.0683,0,	8481621276043
0.226394,0.198352,	8481621305210
0.225277,0.204157,	8481621335543
0.225144,0.210841,	8481621364710
0.225006,0.217528,	8481621395335
0.224863,0.224218,	8481621424793
0.22275,0.229002,	8481621455418
0.221621,0.234527,	8481621485168
0.221466,0.241266,	8481621515210
0.221307,0.248009,	8481621544960
0.220162,0.253725,	8481621575002
0.219995,0.26046,	8481621604168
0.217865,0.265057,	8481621633918
0.217691,0.27177,	8481621663668
0.216534,0.277374,	8481621693418
0.216354,0.284025,	8481621722877
0.216171,0.290597,	8481621753210
0.0683,0,	8481621817085
0,0.301386,	8481621849460
0,0.30794,	8481621879793
0,0.314497,	8481621910127
0,0.321058,	8481621939585
0,0.327623,	8481621969335
0,0,	8481621998793
0,0.341954,	8481622046627
0,0.347284,	8481622076960
0,0.35389,	8481622107002
0,0.360501,	8481622136752
0,0.368445,	8481622166793
0,0.375079,	8481622196543
0,0.381716,	8481622226293
0,0.389582,	8481622255752
0,0.396215,	8481622285793
0,0,	8481622315543
0,0.402853,	8481622345585
0,0,	8481622375043
0,0,	8481622405085
0,0,	8481622434835
0,0,	8481622465168
0,0,	8481622495210
0,0,	8481622524960
0,0,	8481622554418
0,0.440278,	8481622584460
0,0.446747,	8481622614210
0,0.454969,	8481622643960
0,0.461464,	8481622673710
0,0.469729,	8481622703460
0.198095,0.478097,	8481622732918
0.197795,0.484696,	8481622762668
0.198435,0.493081,	8481622792127
0.19907,0.501489,	8481622822168
0.198756,0.508138,	8481622851627
0.19938,0.51659,	8481622881377
0.199058,0.523267,	8481622910835
0.198731,0.529951,	8481622941460
0.1984,0.536669,	8481622971502
0.19807,0.543283,	8481623087002
0.197737,0.549904,	8481623123460
0.1974,0.556531,	8481623153210
0.197059,0.563165,	8481623181502
0.196715,0.569806,	8481623209502
0.197301,0.57838,	8481623236918
0.196949,0.585051,	8481623265210
0.196587,0.59184,	8481623292918
0.196235,0.598386,	8481623320627
0.19588,0.60494,	8481623348043
0.195521,0.6115,	8481623375752
0.196087,0.620074,	8481623403168
0.19572,0.626666,	8481623431168
0.19535,0.633265,	8481623459168
0.195903,0.641906,	8481623487168
0.195511,0.64879,	8481623515168
0.195115,0.655682,	8481623544043
0.194716,0.662583,	8481623573210
0.195235,0.671575,	8481623602668
0.194828,0.678511,	8481623630960
0.194417,0.685455,	8481623660418
0.194922,0.694522,	8481623689293
0.194504,0.701502,	8481623718752
0.195012,0.710417,	8481623747918
0.194574,0.717604,	8481623803627
0.195051,0.726942,	8481623836293
0.194605,0.734168,	8481623867502
0.194156,0.741404,	8481623897835
0.194618,0.750822,	8481623928168
0.195075,0.760264,	8481623958793
0.194613,0.767567,	8481623989127
0.195072,0.776888,	8481624038418
0.194622,0.783909,	8481624069335
0.195082,0.793132,	8481624098502
0.195537,0.802379,	8481624128835
0.195076,0.809464,	8481624195918
0.195523,0.81876,	8481624227418
0.195966,0.828079,	8481624258043
0.195494,0.835231,	8481624288377
0.195919,0.844749,	8481624318710
0.196352,0.854111,	8481624349043
0.19678,0.863496,	8481624379085
0.197205,0.872903,	8481624409418
0.196716,0.880148,	8481624439460
0.197133,0.889605,	8481624469210
0.197546,0.899086,	8481624499252
0.197955,0.908589,	8481624529293
0.198348,0.9183,	8481624559335
0.198744,0.927943,	8481624589668
0.199136,0.937609,	8481624619418
0.199524,0.947299,	8481624650043
0.199908,0.957012,	8481624680085
0.200289,0.96675,	8481624710418
0.201576,0.978643,	8481624740752
0.20195,0.988423,	8481624770502
0.20233,0.998099,	8481624800543
0.202693,1.00799,	8481624830585
0.203052,1.0179,	8481624860043
0.204319,1.02993,	8481624889793
0.204673,1.03989,	8481624919543
0.205023,1.04987,	8481624949293
0.206282,1.06193,	8481624978752
0.206626,1.07196,	8481625029502
0,1.08406,	8481625060710
0,1.094,	8481625090460
0,1.10396,	8481625120502
0,1.11194,	8481625150835
0,1.12195,	8481625180585
0,1.13398,	8481625210627
0,0,	8481625240377
0,0,	8481625270418
0,0,	8481625301043
0,0,	8481625332252
0,0,	8481625362585
0,0,	8481625393210
0,0,	8481625424710
0,0,	8481625455043
0,0,	8481625485668
0,0,	8481625517168
0,0,	8481625547793
0,0,	8481625578710
0,0,	8481625609043
0,1.32583,	8481625639085
0,1.33615,	8481625670002
0,1.34796,	8481625701502
0,1.35832,	8481625732418
0,1.37016,	8481625788710
0.245329,1.38207,	8481625822543
0.247505,1.39543,	8481625853752
0.248742,1.40737,	8481625884085
0.251864,1.42203,	8481625915002
0.254047,1.43527,	8481625945627
0.257178,1.44977,	8481625976252
0.0683,0,	8481626022043
0.0683,0,	8481626055002
0.242992,1.45955,	8481626085918
0.258393,1.49174,	8481626116835
0.256806,1.49966,	8481626147168
0.25522,1.50759,	8481626177793
0.253634,1.51552,	8481626208127
0.252048,1.52346,	8481626240502
0.250463,1.5314,	8481626271127
0.247933,1.53799,	8481626302335
0.246357,1.54582,	8481626332960
0.245708,1.55527,	8481626364168
0.243173,1.56195,	8481626394793
0.241581,1.57003,	8481626426002
0.23999,1.57811,	8481626456918
0.2384,1.5862,	8481626488418
0.237751,1.59576,	8481626519335
0.235221,1.6024,	8481626550252
0.234588,1.61177,	8481626581168
0.233007,1.61979,	8481626612668
0.231427,1.62781,	8481626643585
0.229848,1.63585,	8481626674502
0.22827,1.64388,	8481626705418
0.227631,1.65349,	8481626736627
0.226054,1.66156,	8481626767543
0.224477,1.66964,	8481626798460
0.223848,1.67921,	8481626828793
0.222273,1.68732,	8481626859710
0.220699,1.69544,	8481626889752
0.220063,1.7052,	8481626921252
0.218492,1.71336,	8481626951585
0.216921,1.72153,	8481626981043
0.216287,1.73137,	8481627029168
0.214719,1.73958,	8481627061835
0.214077,1.74965,	8481627092752
0.21251,1.75789,	8481627123668
0.210945,1.76614,	8481627154002
0.210317,1.77614,	8481627184918
0.20969,1.78617,	8481627215543
0.208128,1.79449,	8481627246752
0.207504,1.80458,	8481627276793
0.205945,1.81295,	8481627306252
0.205331,1.82297,	8481627336585
0.204713,1.83311,	8481627365752
0.203162,1.84151,	8481627394043
0.202547,1.85172,	8481627423502
0.201935,1.86196,	8481627451793
0.200387,1.87044,	8481627480668
0.199778,1.88075,	8481627508960
0.199171,1.89109,	8481627538127
0.197617,1.89987,	8481627569043
0.197011,1.91032,	8481627599668
0.196408,1.92082,	8481627630293
0.195806,1.93134,	8481627661210
0.195208,1.9419,	8481627691543
0.194611,1.9525,	8481627723335
0.194017,1.96314,	8481627780210
0.192487,1.97198,	8481627813460
0.191888,1.98286,	8481627844960
0.191302,1.99361,	8481627877043
0.190719,2.00439,	8481627907960
0.190138,2.01521,	8481627939752
0.189561,2.02607,	8481627971252
